3.8673,0.1404
4.1833,0.1506
2.4514,0.3813
4.2844,0.2376
1.3445,0.6554
4.1886,0.2845
0.7511,0.8120
3.5539,0.3461
0.4528,0.8934
3.3804,0.3708
0.2496,0.9419
3.1978,0.3976
0.1801,0.9592
3.2676,0.3842
0.1227,0.9748
3.0640,0.4270
0.0694,0.9890
2.9322,0.4351
0.0591,0.9915
3.0149,0.4458
0.0441,0.9929
2.9451,0.4371
0.0540,0.9904
2.8893,0.4592
0.0492,0.9910
2.8928,0.4518
0.0543,0.9901
2.8165,0.4525
0.0376,0.9948
2.8679,0.4505
0.0462,0.9926
2.9207,0.4498
0.0467,0.9904
2.7985,0.4451
0.0403,0.9931
2.8973,0.4438
0.0417,0.9923
2.8178,0.4572
0.0387,0.9948
2.8280,0.4572
0.0383,0.9940
2.9031,0.4465
0.0396,0.9934
2.8719,0.4398
0.0412,0.9926
2.8868,0.4391
0.0423,0.9904
2.7595,0.4598
0.0365,0.9940
2.8623,0.4511
0.0426,0.9918
2.8547,0.4471
0.0461,0.9926
2.7437,0.4525
0.0391,0.9934
2.8322,0.4498
0.0404,0.9929
2.8022,0.4552
0.0399,0.9929
2.8113,0.4565
0.0431,0.9937
2.9035,0.4451
0.0425,0.9923
2.8089,0.4578
0.0328,0.9967
2.8245,0.4505
0.0460,0.9923
2.8958,0.4424
0.0419,0.9926
2.8393,0.4485
