4.4494,0.0587
4.3943,0.1004
3.0318,0.2736
4.0720,0.1961
1.8134,0.5430
3.6759,0.2691
1.0066,0.7415
3.6775,0.2912
0.6067,0.8501
3.6029,0.3293
0.3382,0.9227
3.6365,0.3434
0.2226,0.9537
3.5742,0.3621
0.1219,0.9770
3.3863,0.3916
0.0795,0.9874
3.3562,0.3896
0.0795,0.9863
3.2533,0.4050
0.0697,0.9885
3.2002,0.4036
0.0647,0.9910
3.2003,0.4090
0.0608,0.9896
3.1576,0.4183
0.0488,0.9926
3.1799,0.4183
0.0572,0.9904
3.2571,0.4197
0.0603,0.9915
3.1925,0.4183
0.0450,0.9948
3.1160,0.4197
0.0477,0.9931
3.2169,0.4137
0.0461,0.9931
3.1731,0.4116
0.0502,0.9940
3.1348,0.4177
0.0569,0.9904
3.1872,0.4190
0.0478,0.9931
3.1502,0.4250
0.0462,0.9926
3.1798,0.4210
0.0499,0.9910
3.1767,0.4203
0.0442,0.9923
3.1769,0.4130
